attraction_id,attraction_name,candidate_count,accepted_feature_count,conflict_count,resolved_image_count,missing_image_count,linkage_status
"LTA-FEAT-001","بحيرة قبر عون","1","1","0","3","0","linked_with_media"
"LTA-FEAT-002","واو الناموس","1","1","0","7","0","linked_with_media"
"LTA-FEAT-003","محمية الطيور المهاجرة – المرج","0","0","0","1","0","media_ready_geojson_unresolved"
"LTA-FEAT-004","عين الدبوسية","2","2","0","2","0","linked_with_media"
"LTA-FEAT-005","شلال بالفو","0","0","0","2","0","media_ready_geojson_unresolved"
"LTA-FEAT-006","سد وادي كعام","1","1","0","0","0","linked_without_media"
"LTA-FEAT-007","سد وادي الوشكة","1","1","0","0","0","linked_without_media"
"LTA-FEAT-008","عين الزرقاء جادو","1","1","0","0","0","linked_without_media"
"LTA-FEAT-009","عين الفرس – غدامس","1","1","0","0","0","linked_without_media"
"LTA-FEAT-010","وادي موجهاج – أكاكوس","0","0","0","0","0","unresolved"
"LTA-FEAT-011","بحيرة الجغبوب","0","0","0","2","0","media_ready_geojson_unresolved"
"LTA-FEAT-012","نبع أبولو – شحات","1","1","0","0","0","linked_without_media"
"LTA-FEAT-013","قلتة المياه – أكاكوس","0","0","0","1","0","media_ready_geojson_unresolved"
"LTA-FEAT-014","بحيرات نوضا","0","0","0","2","0","media_ready_geojson_unresolved"
"LTA-FEAT-015","بحيرة أم الماء","1","1","0","2","0","linked_with_media"
"LTA-FEAT-016","بحيرة طرونة","1","1","0","2","0","linked_with_media"
"LTA-FEAT-017","خليج البردي","1","1","0","1","0","linked_with_media"
"LTA-FEAT-018","محمية وادي الكوف","0","0","0","1","0","media_ready_geojson_unresolved"
"LTA-FEAT-019","جسر وادي الكوف القديم","1","1","0","0","0","linked_without_media"
"LTA-FEAT-020","بحيرات الجغبوب","4","4","0","2","0","linked_with_media"
"LTA-FEAT-021","بحيرة مافو","1","1","0","1","0","linked_with_media"
"LTA-FEAT-022","شلالات رأس الهلال","1","1","0","0","0","linked_without_media"
