attraction_id,attraction_name,feature_id,feature_name,feature_index,match_type,match_value,image_count,missing_image_count,status
"LTA-FEAT-001","بحيرة قبر عون","560","بحيرة قبر عون","559","feature_id","560","3","0","linked_with_media"
"LTA-FEAT-002","واو الناموس","572","واو الناموس","571","feature_id","572","7","0","linked_with_media"
"LTA-FEAT-004","عين الدبوسية","709","عين الدبوسية","708","feature_id","709","2","0","linked_with_media"
"LTA-FEAT-004","عين الدبوسية","710","عين الدبوسية","709","feature_id","710","2","0","linked_with_media"
"LTA-FEAT-006","سد وادي كعام","657","سد وادي كعام","656","feature_id","657","0","0","linked_without_media"
"LTA-FEAT-007","سد وادي الوشكة","650","سد وادي الوشكة","649","feature_id","650","0","0","linked_without_media"
"LTA-FEAT-008","عين الزرقاء جادو","719","عين الزرقاء أو عين أم اقديح","718","feature_id","719","0","0","linked_without_media"
"LTA-FEAT-009","عين الفرس – غدامس","737","عين الفرس","736","feature_id","737","0","0","linked_without_media"
"LTA-FEAT-012","نبع أبولو – شحات","837","نبع أبولو","836","feature_id","837","0","0","linked_without_media"
"LTA-FEAT-015","بحيرة أم الماء","529","بحيرة أم الماء","528","feature_id","529","2","0","linked_with_media"
"LTA-FEAT-016","بحيرة طرونة","559","بحيرة طرونة","558","feature_id","559","2","0","linked_with_media"
"LTA-FEAT-017","خليج البردي","667","خليج بمبة","666","feature_id","667","1","0","linked_with_media"
"LTA-FEAT-019","جسر وادي الكوف القديم","124","جسر وادي الكوف القديم","123","feature_id","124","0","0","linked_without_media"
"LTA-FEAT-020","بحيرات الجغبوب","535","بحيرة العامرة","534","feature_id","535","2","0","linked_with_media"
"LTA-FEAT-020","بحيرات الجغبوب","536","بحيرة العرايشة","535","feature_id","536","2","0","linked_with_media"
"LTA-FEAT-020","بحيرات الجغبوب","541","بحيرة الفريدغة","540","feature_id","541","2","0","linked_with_media"
"LTA-FEAT-020","بحيرات الجغبوب","545","بحيرة الملفا","544","feature_id","545","2","0","linked_with_media"
"LTA-FEAT-021","بحيرة مافو","563","بحيرة مافو","562","feature_id","563","1","0","linked_with_media"
"LTA-FEAT-022","شلالات رأس الهلال","130","شلال وادي مرقس","129","feature_id","130","0","0","linked_without_media"
