"attraction_id","attraction_name","feature_id","feature_name","longitude","latitude","score","feature_index"
"LTA-FEAT-003","محمية الطيور المهاجرة – المرج","940","محمية البرج","21.2880555555555","29.1844444444444","0.5789","939"
"LTA-FEAT-003","محمية الطيور المهاجرة – المرج","141","محمية وادي الأثل","12.3869444444445","32.3091666666667","0.5263","140"
"LTA-FEAT-003","محمية الطيور المهاجرة – المرج","943","محمية الشماري","22.0975224","32.7859765","0.5263","942"
"LTA-FEAT-003","محمية الطيور المهاجرة – المرج","833","محمية الهيشة","15.3094482","31.6089489","0.4737","832"
"LTA-FEAT-003","محمية الطيور المهاجرة – المرج","853","حمام البئر الساخن","10.25588","25.17864","0.4737","852"
"LTA-FEAT-005","شلال بالفو","130","شلال وادي مرقس","22.2109384","32.8478912","0.6667","129"
"LTA-FEAT-005","شلال بالفو","136","قلتة وادي بوبو","10.6366694444445","24.5794388888889","0.6","135"
"LTA-FEAT-005","شلال بالفو","162","منتجع وادي بالنور","13.593864","32.793093","0.5882","161"
"LTA-FEAT-005","شلال بالفو","163","منتجع وادي بالنور","13.59408","32.792644","0.5882","162"
"LTA-FEAT-005","شلال بالفو","146","مشروع وادي التوت","12.4158333333334","32.1136111111111","0.5625","145"
"LTA-FEAT-008","جادور عين الزرقاء","608","سبخة العين الزرقاء","21.4780709","32.810937","0.9","607"
"LTA-FEAT-008","جادور عين الزرقاء","719","عين الزرقاء أو عين أم اقديح","22.35","32.7833333333333","0.9","718"
"LTA-FEAT-008","جادور عين الزرقاء","715","عين الرقراق","12.503449","32.1118342","0.7273","714"
"LTA-FEAT-008","جادور عين الزرقاء","728","عين الطرشان","12.6669444444444","32.1061111111111","0.7273","727"
"LTA-FEAT-008","جادور عين الزرقاء","723","عين الشرشارة","13.6208368","32.4662185","0.6667","722"
"LTA-FEAT-010","وادي موجهاج – أكاكوس","499","وادي ملجة","21.8361243","32.8360343","0.7273","498"
"LTA-FEAT-010","وادي موجهاج – أكاكوس","500","وادي ملجة","21.8432624","32.828641","0.7273","499"
"LTA-FEAT-010","وادي موجهاج – أكاكوس","173","وادي أمها","10.5557155","24.7680313","0.6364","172"
"LTA-FEAT-010","وادي موجهاج – أكاكوس","176","وادي أوال","10.8981149","29.5992123","0.6364","175"
"LTA-FEAT-010","وادي موجهاج – أكاكوس","212","وادي الحاج","22.1804507","32.8889071","0.6364","211"
"LTA-FEAT-011","بحيرة الجغبوب","526","بحيرة","13.3255708","27.4750061","0.9","525"
"LTA-FEAT-011","بحيرة الجغبوب","543","بحيرة المجدوب","20.1287556","32.1554139","0.7692","542"
"LTA-FEAT-011","بحيرة الجغبوب","538","بحيرة العنبة","12.9778147","26.944854","0.6923","537"
"LTA-FEAT-011","بحيرة الجغبوب","539","بحيرة العيون","14.0103736","27.4678864","0.6923","538"
"LTA-FEAT-011","بحيرة الجغبوب","540","بحيرة العيون","14.0103736","27.4678864","0.6923","539"
"LTA-FEAT-013","قلتة المياه – أكاكوس","587","قلتة","10.49872","24.78918","0.9","586"
"LTA-FEAT-013","قلتة المياه – أكاكوس","588","قلتة الحمار","12.5056158","32.2013474","0.7273","587"
"LTA-FEAT-013","قلتة المياه – أكاكوس","78","قناة مياه","14.5545352","30.9503406","0.6364","77"
"LTA-FEAT-013","قلتة المياه – أكاكوس","939","قلعة القيقب","22.0215212","32.7257113","0.6364","938"
"LTA-FEAT-013","قلتة المياه – أكاكوس","61","حلبة المصارعة","12.4941587","32.8040313","0.6154","60"
"LTA-FEAT-014","بحيرات نوضا","526","بحيرة","13.3255708","27.4750061","0.9","525"
"LTA-FEAT-014","بحيرات نوضا","566","بحيرة نشنوشة","13.4005308","26.9467286","0.6667","565"
"LTA-FEAT-014","بحيرات نوضا","523","بحيرات برقن","13.6258365","27.5316778","0.6364","522"
"LTA-FEAT-014","بحيرات نوضا","524","بحيرات برقن","13.6335675","27.511145","0.6364","523"
"LTA-FEAT-014","بحيرات نوضا","525","بحيرات زلة","17.5572158","28.5428914","0.6364","524"
"LTA-FEAT-017","البردي","573","البرك","21.4254823","32.6433046","0.6667","572"
"LTA-FEAT-017","البردي","574","البلطة","18.13123","27.76294","0.5","573"
"LTA-FEAT-017","البردي","685","عين البراكي","18.8650453","30.0982498","0.4545","684"
"LTA-FEAT-017","البردي","517","وداي برحى","25.0914377","31.7684974","0.4444","516"
"LTA-FEAT-017","البردي","340","وادي باديس","11.9204816","26.138428","0.4","339"
"LTA-FEAT-018","محمية وادي الكوف","111","استراحة منتزه وادي الكوف","21.5634833333334","32.7017888888889","0.9","110"
"LTA-FEAT-018","محمية وادي الكوف","123","جسر وادي الكوف","21.5651463","32.6969085","0.9","122"
"LTA-FEAT-018","محمية وادي الكوف","124","جسر وادي الكوف القديم","21.5745439","32.6985923","0.9","123"
"LTA-FEAT-018","محمية وادي الكوف","160","منتجع وادي الكوف","21.562313","32.70194","0.9","159"
"LTA-FEAT-018","محمية وادي الكوف","161","منتجع وادي الكوف","21.563798","32.702","0.9","160"
"LTA-FEAT-022","شلالات رأس الهلال","130","شلال وادي مرقس","22.2109384","32.8478912","1","129"
"LTA-FEAT-022","شلالات رأس الهلال","492","وادي مرقس","22.2072581","32.8472222","0.9","491"
"LTA-FEAT-022","شلالات رأس الهلال","788","عين رأس الهلال","22.1699277777777","32.8660472222222","0.6471","787"
"LTA-FEAT-022","شلالات رأس الهلال","145","مسلات وادي مردوم","14.2913071","31.8326063","0.625","144"
"LTA-FEAT-022","شلالات رأس الهلال","112","اطلال شروس الأثرية","11.539714","31.8305499","0.5","111"
