attraction_id,attraction_name,locality_ar,region_ar,feature_id,feature_name,primary_category,folders,longitude,latitude,name_score,context_score,combined_score,feature_index
"LTA-FEAT-003","محمية الطيور المهاجرة – المرج","قيد التحقق التفصيلي","المرج","940","محمية البرج","محميات وموائل الطيور المهاجرة","Untitled layer","21.2880555555555","29.1844444444444","0.2500","0.2667","0.2533","939"
"LTA-FEAT-003","محمية الطيور المهاجرة – المرج","قيد التحقق التفصيلي","المرج","941","محمية الثلاثين","محميات وموائل الطيور المهاجرة","Untitled layer","16.2005833","31.2376944","0.2500","0.2667","0.2533","940"
"LTA-FEAT-003","محمية الطيور المهاجرة – المرج","قيد التحقق التفصيلي","المرج","942","محمية الشعافيين","محميات وموائل الطيور المهاجرة","Untitled layer","13.8333044","32.6073756","0.2500","0.2667","0.2533","941"
"LTA-FEAT-003","محمية الطيور المهاجرة – المرج","قيد التحقق التفصيلي","المرج","943","محمية الشماري","محميات وموائل الطيور المهاجرة","Untitled layer","22.0975224","32.7859765","0.2500","0.2667","0.2533","942"
"LTA-FEAT-003","محمية الطيور المهاجرة – المرج","قيد التحقق التفصيلي","المرج","833","محمية الهيشة","العيون الطبيعية","Untitled layer","15.3094482","31.6089489","0.2500","0.0282","0.2056","832"
"LTA-FEAT-003","محمية الطيور المهاجرة – المرج","قيد التحقق التفصيلي","المرج","141","محمية وادي الأثل","الأودية ومصباتها","Untitled layer","12.3869444444445","32.3091666666667","0.2000","0.2222","0.2044","140"
"LTA-FEAT-003","محمية الطيور المهاجرة – المرج","قيد التحقق التفصيلي","المرج","944","محمية جبال النقازة","محميات وموائل الطيور المهاجرة","Untitled layer","14.0984631","32.6987213","0.2000","0.0430","0.1686","943"
"LTA-FEAT-003","محمية الطيور المهاجرة – المرج","قيد التحقق التفصيلي","المرج","120","تفرع طريق محمية وادي الأثل","الأودية ومصباتها","Untitled layer","12.4833012","32.1583931","0.1429","0.2000","0.1543","119"
"LTA-FEAT-003","محمية الطيور المهاجرة – المرج","قيد التحقق التفصيلي","المرج","945","مشروع المحمية السياحي","محميات وموائل الطيور المهاجرة","Untitled layer","15.0997598","32.0116714","0.0000","0.2500","0.0500","944"
"LTA-FEAT-003","محمية الطيور المهاجرة – المرج","قيد التحقق التفصيلي","المرج","640","سد الهيشة","السدود","Untitled layer","22.3868383","32.5718244","0.0000","0.1905","0.0381","639"
