feature_name,feature_id,attraction_id,match_type,image_count,missing_image_count,status
"أطلال حصن بئر احكيم","1","","unmatched","0","0","no_attraction_record"
"الفرارة موقع أثري مغمور بالمياه","2","","unmatched","0","0","no_attraction_record"
"المقبرة الايطالية","3","","unmatched","0","0","no_attraction_record"
"المنطقة الجنائزية","4","","unmatched","0","0","no_attraction_record"
"الوشكة منطقة نخيل وبها بئر مياه","5","","unmatched","0","0","no_attraction_record"
"بئر أثري","6","","unmatched","0","0","no_attraction_record"
"بئر أصوان","7","","unmatched","0","0","no_attraction_record"
"بئر أماسين","8","","unmatched","0","0","no_attraction_record"
"بئر أنزوا","9","","unmatched","0","0","no_attraction_record"
"بئر ابانكور","10","","unmatched","0","0","no_attraction_record"
"بئر اشديوة","11","","unmatched","0","0","no_attraction_record"
"بئر اشميخ","12","","unmatched","0","0","no_attraction_record"
"بئر الأزهري","13","","unmatched","0","0","no_attraction_record"
"بئر الأشهب","14","","unmatched","0","0","no_attraction_record"
"بئر البلح","15","","unmatched","0","0","no_attraction_record"
"بئر البيضاء","16","","unmatched","0","0","no_attraction_record"
"بئر الجرف","17","","unmatched","0","0","no_attraction_record"
"بئر الخباشة","18","","unmatched","0","0","no_attraction_record"
"بئر الركب","19","","unmatched","0","0","no_attraction_record"
"بئر الزتارية","20","","unmatched","0","0","no_attraction_record"
"بئر الشجرة الزتارية الشرقية","21","","unmatched","0","0","no_attraction_record"
"بئر الطليعي","22","","unmatched","0","0","no_attraction_record"
"بئر الطوير","23","","unmatched","0","0","no_attraction_record"
"بئر الغزيل","24","","unmatched","0","0","no_attraction_record"
"بئر الغنم","25","","unmatched","0","0","no_attraction_record"
"بئر الفرطاس","26","","unmatched","0","0","no_attraction_record"
"بئر القطوسة","27","","unmatched","0","0","no_attraction_record"
"بئر الكلاب","28","","unmatched","0","0","no_attraction_record"
"بئر المرحان","29","","unmatched","0","0","no_attraction_record"
"بئر النوارية","30","","unmatched","0","0","no_attraction_record"
"بئر الهابط","31","","unmatched","0","0","no_attraction_record"
"بئر امينينغ","32","","unmatched","0","0","no_attraction_record"
"بئر بالتبن","33","","unmatched","0","0","no_attraction_record"
"بئر بومعروف","34","","unmatched","0","0","no_attraction_record"
"بئر تلووات","35","","unmatched","0","0","no_attraction_record"
"بئر تيترزين","36","","unmatched","0","0","no_attraction_record"
"بئر حركات","37","","unmatched","0","0","no_attraction_record"
"بئر حزوة","38","","unmatched","0","0","no_attraction_record"
"بئر حكيم","39","","unmatched","0","0","no_attraction_record"
"بئر دوفان","40","","unmatched","0","0","no_attraction_record"
"بئر دوفان","41","","unmatched","0","0","no_attraction_record"
"بئر دوفان","42","","unmatched","0","0","no_attraction_record"
"بئر زاكم","43","","unmatched","0","0","no_attraction_record"
"بئر سانية الخضر","44","","unmatched","0","0","no_attraction_record"
"بئر سرار","45","","unmatched","0","0","no_attraction_record"
"بئر شطيب الشيح","46","","unmatched","0","0","no_attraction_record"
"بئر شنيش","47","","unmatched","0","0","no_attraction_record"
"بئر علاق","48","","unmatched","0","0","no_attraction_record"
"بئر علوين","49","","unmatched","0","0","no_attraction_record"
"بئر عياد","50","","unmatched","0","0","no_attraction_record"
"بئر عياد","51","","unmatched","0","0","no_attraction_record"
"بئر غني أو الطابونية","52","","unmatched","0","0","no_attraction_record"
"بئر قرينات","53","","unmatched","0","0","no_attraction_record"
"بئر مجيد","54","","unmatched","0","0","no_attraction_record"
"بئر مياه","55","","unmatched","0","0","no_attraction_record"
"بئر ناهية","56","","unmatched","0","0","no_attraction_record"
"بئر نفات","57","","unmatched","0","0","no_attraction_record"
"تجمع ماء","58","","unmatched","0","0","no_attraction_record"
"حاسي حقي أو تين ايهيدن","59","","unmatched","0","0","no_attraction_record"
"حفريات الفيوت","60","","unmatched","0","0","no_attraction_record"
"حلبة المصارعة","61","","unmatched","0","0","no_attraction_record"
"حمادة المنديل","62","","unmatched","0","0","no_attraction_record"
"خزان القرضابية 1","63","","unmatched","0","0","no_attraction_record"
"خزان القرضايبة","64","","unmatched","0","0","no_attraction_record"
"خزان عمر المختار منظومة النهر الصناعي","65","","unmatched","0","0","no_attraction_record"
"خزان مياه","66","","unmatched","0","0","no_attraction_record"
"خزانات النهر الصناعي","67","","unmatched","0","0","no_attraction_record"
"خزانات النهر الصناعي","68","","unmatched","0","0","no_attraction_record"
"خزانات مياه","69","","unmatched","0","0","no_attraction_record"
"خزانات مياه مكشوفة","70","","unmatched","0","0","no_attraction_record"
"شاطىء تليل","71","","unmatched","0","0","no_attraction_record"
"صخور تحت الماء","72","","unmatched","0","0","no_attraction_record"
"قصبة دفر ثلاث","73","","unmatched","0","0","no_attraction_record"
"قصر أم الماء","74","","unmatched","0","0","no_attraction_record"
"قصر بولاركان","75","","unmatched","0","0","no_attraction_record"
"قصر فرسطاء","76","","unmatched","0","0","no_attraction_record"
